"court","opponent","game.id","game.date","game.time","game.location","player.LastName","player.FirstName","Fg2PtAtt.","Fg2PtAttPerGame.","Fg2PtMade.","Fg2PtMadePerGame.","Fg2PtPct.","Fg3PtAtt.","Fg3PtAttPerGame.","Fg3PtMade.","Fg3PtMadePerGame.","Fg3PtPct.","FgAtt.","FgAttPerGame.","FgMade.","FgMadePerGame.","FgPct.","FtAtt.","FtAttPerGame.","FtMade.","FtMadePerGame.","FtPct.","OffReb.","OffRebPerGame.","DefReb.","DefRebPerGame.","Reb.","RebPerGame.","Ast.","AstPerGame.","Pts.","PtsPerGame.","Tov.","TovPerGame.","Stl.","StlPerGame.","Blk.","BlkPerGame.","BlkAgainst.","BlkAgainstPerGame.","Fouls.","FoulsPerGame.","FoulsDrawn.","FoulsDrawnPerGame.","FoulPers.","FoulPersPerGame.","FoulPersDrawn.","FoulPersDrawnPerGame.","FoulTech.","FoulTechPerGame.","FoulTechDrawn.","FoulTechDrawnPerGame.","FoulFlag1.","FoulFlag1PerGame.","FoulFlag1Drawn.","FoulFlag1DrawnPerGame.","FoulFlag2.","FoulFlag2PerGame.","FoulFlag2Drawn.","FoulFlag2DrawnPerGame.","Ejections.","PlusMinus.","PlusMinusPerGame.","MinSeconds.","MinSecondsPerGame.","GamesStarted."
"Home","Phoenix Suns","43191","2018-03-30","8:00PM","Toyota Center","Harden","James",13,13,7,7,53.8,8,8,1,1,12.5,21,21,8,8,38.1,17,17,11,11,64.7,0,0,8,8,8,8,10,10,28,28,4,4,2,2,1,1,2,2,12,12,0,0,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,2297,2297,1
"Home","Washington Wizards","43222","2018-04-03","8:00PM","Toyota Center","Harden","James",10,10,7,7,70,8,8,5,5,62.5,18,18,12,12,66.7,10,10,9,9,90,1,1,9,9,10,10,9,9,38,38,3,3,1,1,1,1,0,0,7,7,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,2039,2039,1
"Home","Portland Trail Blazers","43236","2018-04-05","8:00PM","Toyota Center","Harden","James",7,7,4,4,57.1,6,6,3,3,50,13,13,7,7,53.8,10,10,7,7,70,1,1,5,5,6,6,7,7,24,24,8,8,1,1,0,0,1,1,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2061,2061,1
"Home","Oklahoma City Thunder","43255","2018-04-07","8:30PM","Toyota Center","Harden","James",8,8,4,4,50,8,8,3,3,37.5,16,16,7,7,43.8,12,12,9,9,75,0,0,4,4,4,4,9,9,26,26,5,5,1,1,1,1,2,2,15,15,0,0,5,5,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2185,2185,1
"Away","Golden State Warriors","42071","2017-10-17","10:30PM","Oracle Arena","Harden","James",14,14,6,6,42.9,9,9,4,4,44.4,23,23,10,10,43.5,4,4,3,3,75,1,1,5,5,6,6,10,10,27,27,3,3,1,1,0,0,2,2,6,6,0,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2184,2184,1
"Away","Sacramento Kings","42081","2017-10-18","10:00PM","Sleep Train Arena","Harden","James",7,7,4,4,57.1,14,14,4,4,28.6,21,21,8,8,38.1,8,8,7,7,87.5,2,2,1,1,3,3,9,9,27,27,2,2,2,2,0,0,0,0,6,6,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2266,2266,1
"Away","Philadelphia 76ers","42126","2017-10-25","7:00PM","Wells Fargo Center","Harden","James",12,12,8,8,66.7,8,8,2,2,25,20,20,10,10,50,5,5,5,5,100,0,0,3,3,3,3,13,13,27,27,8,8,1,1,3,3,3,3,7,7,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,2486,2486,1
"Away","Charlotte Hornets","42139","2017-10-27","7:00PM","Spectrum Center","Harden","James",8,8,4,4,50,10,10,4,4,40,18,18,8,8,44.4,8,8,7,7,87.5,0,0,10,10,10,10,11,11,27,27,5,5,1,1,0,0,2,2,9,9,0,0,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,2216,2216,1
"Away","Memphis Grizzlies","43367","2017-10-28","8:00PM","FedEx Forum","Harden","James",10,10,4,4,40,9,9,2,2,22.2,19,19,6,6,31.6,7,7,6,6,85.7,0,0,3,3,4,4,8,8,20,20,3,3,2,2,0,0,0,0,11,11,0,0,3,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-13,2017,2017,1
"Away","New York Knicks","42180","2017-11-01","8:00PM","Madison Square Garden","Harden","James",6,6,3,3,50,17,17,6,6,35.3,23,23,9,9,39.1,9,9,7,7,77.8,1,1,4,4,5,5,9,9,31,31,7,7,0,0,0,0,0,0,12,12,0,0,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,2087,2087,1
